| ID    | Algorithm             | Level      | Status     | Time Taken (ms)      | Memory Used (KB)     | Time                 |
| 23    | Forward Checking      | MEDIUM     | Solved     | 756                  | 985                  | 2025-05-06 03:12:49  |
| 23    | Backtracking with MRV | MEDIUM     | Solved     | 349                  | 84                   | 2025-05-06 03:12:49  |
| 24    | Dancing Links         | MEDIUM     | Solved     | 827                  | 331                  | 2025-05-06 03:12:49  |
| 24    | Backtracking          | MEDIUM     | Solved     | 254                  | 2                    | 2025-05-06 03:12:49  |
| 24    | Forward Checking      | MEDIUM     | Solved     | 569                  | 658                  | 2025-05-06 03:12:49  |
| 24    | Backtracking with MRV | MEDIUM     | Solved     | 384                  | 84                   | 2025-05-06 03:12:49  |
| 25    | Dancing Links         | MEDIUM     | Solved     | 795                  | 331                  | 2025-05-06 03:12:49  |
| 25    | Backtracking          | MEDIUM     | Solved     | 266                  | 2                    | 2025-05-06 03:12:49  |
| 25    | Forward Checking      | MEDIUM     | Solved     | 527                  | 658                  | 2025-05-06 03:12:49  |
| 25    | Backtracking with MRV | MEDIUM     | Solved     | 328                  | 84                   | 2025-05-06 03:12:49  |
| 26    | Dancing Links         | MEDIUM     | Solved     | 1025                 | 331                  | 2025-05-06 03:12:49  |
| 26    | Backtracking          | MEDIUM     | Solved     | 288                  | 2                    | 2025-05-06 03:12:49  |
| 26    | Forward Checking      | MEDIUM     | Solved     | 621                  | 740                  | 2025-05-06 03:12:49  |
| 26    | Backtracking with MRV | MEDIUM     | Solved     | 454                  | 84                   | 2025-05-06 03:12:49  |
| 27    | Dancing Links         | MEDIUM     | Solved     | 769                  | 331                  | 2025-05-06 03:12:49  |
| 27    | Backtracking          | MEDIUM     | Solved     | 452                  | 2                    | 2025-05-06 03:12:49  |
| 27    | Forward Checking      | MEDIUM     | Solved     | 793                  | 985                  | 2025-05-06 03:12:49  |
| 27    | Backtracking with MRV | MEDIUM     | Solved     | 399                  | 84                   | 2025-05-06 03:12:49  |
| 28    | Dancing Links         | MEDIUM     | Solved     | 838                  | 334                  | 2025-05-06 03:12:49  |
| 28    | Backtracking          | MEDIUM     | Solved     | 317                  | 2                    | 2025-05-06 03:12:49  |
| 28    | Forward Checking      | MEDIUM     | Solved     | 673                  | 658                  | 2025-05-06 03:12:49  |
| 28    | Backtracking with MRV | MEDIUM     | Solved     | 309                  | 84                   | 2025-05-06 03:12:49  |
| 29    | Dancing Links         | MEDIUM     | Solved     | 806                  | 331                  | 2025-05-06 03:12:49  |
| 29    | Backtracking          | MEDIUM     | Solved     | 357                  | 2                    | 2025-05-06 03:12:49  |
| 29    | Forward Checking      | MEDIUM     | Solved     | 653                  | 658                  | 2025-05-06 03:12:49  |
| 29    | Backtracking with MRV | MEDIUM     | Solved     | 280                  | 84                   | 2025-05-06 03:12:49  |
| 30    | Dancing Links         | MEDIUM     | Solved     | 906                  | 331                  | 2025-05-06 03:12:49  |
| 30    | Backtracking          | MEDIUM     | Solved     | 259                  | 2                    | 2025-05-06 03:12:49  |
| 30    | Forward Checking      | MEDIUM     | Solved     | 604                  | 740                  | 2025-05-06 03:12:49  |
| 30    | Backtracking with MRV | MEDIUM     | Solved     | 341                  | 84                   | 2025-05-06 03:12:49  |
| 31    | Dancing Links         | HARD       | Solved     | 867                  | 331                  | 2025-05-06 03:12:49  |
| 31    | Backtracking          | HARD       | Solved     | 841                  | 2                    | 2025-05-06 03:12:49  |
| 31    | Forward Checking      | HARD       | Solved     | 987                  | 1560                 | 2025-05-06 03:12:49  |
| 31    | Backtracking with MRV | HARD       | Solved     | 502                  | 84                   | 2025-05-06 03:12:49  |
| 32    | Dancing Links         | HARD       | Solved     | 918                  | 331                  | 2025-05-06 03:12:49  |
| 32    | Backtracking          | HARD       | Solved     | 1204                 | 2                    | 2025-05-06 03:12:49  |
| 32    | Forward Checking      | HARD       | Solved     | 1006                 | 1316                 | 2025-05-06 03:12:49  |
| 32    | Backtracking with MRV | HARD       | Solved     | 629                  | 70                   | 2025-05-06 03:12:49  |
| 33    | Dancing Links         | HARD       | Solved     | 1159                 | 332                  | 2025-05-06 03:12:49  |
| 33    | Backtracking          | HARD       | Solved     | 3818                 | 2                    | 2025-05-06 03:12:49  |
| 33    | Forward Checking      | HARD       | Solved     | 4797                 | 3702                 | 2025-05-06 03:12:49  |
| 33    | Backtracking with MRV | HARD       | Solved     | 1123                 | 84                   | 2025-05-06 03:12:49  |
| 34    | Dancing Links         | HARD       | Solved     | 835                  | 331                  | 2025-05-06 03:12:49  |
| 34    | Backtracking          | HARD       | Solved     | 1518                 | 2                    | 2025-05-06 03:12:49  |
| 34    | Forward Checking      | HARD       | Solved     | 724                  | 822                  | 2025-05-06 03:12:49  |
| 34    | Backtracking with MRV | HARD       | Solved     | 289                  | 84                   | 2025-05-06 03:12:49  |
| 35    | Dancing Links         | HARD       | Solved     | 800                  | 331                  | 2025-05-06 03:12:49  |
| 35    | Backtracking          | HARD       | Solved     | 2987                 | 2                    | 2025-05-06 03:12:49  |
| 35    | Forward Checking      | HARD       | Solved     | 4708                 | 1588                 | 2025-05-06 03:12:49  |
| 35    | Backtracking with MRV | HARD       | Solved     | 1682                 | 84                   | 2025-05-06 03:12:49  |
| 36    | Dancing Links         | HARD       | Solved     | 879                  | 331                  | 2025-05-06 03:12:49  |
| 36    | Backtracking          | HARD       | Solved     | 690                  | 2                    | 2025-05-06 03:12:49  |
| 36    | Forward Checking      | HARD       | Solved     | 759                  | 1067                 | 2025-05-06 03:12:49  |
| 36    | Backtracking with MRV | HARD       | Solved     | 689                  | 84                   | 2025-05-06 03:12:49  |
| 37    | Dancing Links         | HARD       | Solved     | 746                  | 331                  | 2025-05-06 03:12:49  |
| 37    | Backtracking          | HARD       | Solved     | 888                  | 2                    | 2025-05-06 03:12:49  |
| 37    | Forward Checking      | HARD       | Solved     | 927                  | 740                  | 2025-05-06 03:12:49  |
| 37    | Backtracking with MRV | HARD       | Solved     | 379                  | 84                   | 2025-05-06 03:12:49  |
| 38    | Dancing Links         | HARD       | Solved     | 788                  | 331                  | 2025-05-06 03:12:49  |
| 38    | Backtracking          | HARD       | Solved     | 390                  | 2                    | 2025-05-06 03:12:49  |
| 38    | Forward Checking      | HARD       | Solved     | 634                  | 986                  | 2025-05-06 03:12:49  |
| 38    | Backtracking with MRV | HARD       | Solved     | 397                  | 84                   | 2025-05-06 03:12:49  |
| 39    | Dancing Links         | HARD       | Solved     | 713                  | 331                  | 2025-05-06 03:12:49  |
| 39    | Backtracking          | HARD       | Solved     | 389                  | 2                    | 2025-05-06 03:12:49  |
| 39    | Forward Checking      | HARD       | Solved     | 641                  | 986                  | 2025-05-06 03:12:49  |
| 39    | Backtracking with MRV | HARD       | Solved     | 411                  | 84                   | 2025-05-06 03:12:49  |
| 40    | Dancing Links         | HARD       | Solved     | 844                  | 331                  | 2025-05-06 03:12:49  |
| 40    | Backtracking          | HARD       | Solved     | 369                  | 2                    | 2025-05-06 03:12:49  |
| 40    | Forward Checking      | HARD       | Solved     | 585                  | 740                  | 2025-05-06 03:12:49  |
| 40    | Backtracking with MRV | HARD       | Solved     | 441                  | 84                   | 2025-05-06 03:12:49  |
| 41    | Dancing Links         | HARD       | Solved     | 797                  | 331                  | 2025-05-06 03:12:49  |
| 41    | Backtracking          | HARD       | Solved     | 1341                 | 2                    | 2025-05-06 03:12:49  |
| 41    | Forward Checking      | HARD       | Solved     | 928                  | 1969                 | 2025-05-06 03:12:49  |
| 41    | Backtracking with MRV | HARD       | Solved     | 507                  | 84                   | 2025-05-06 03:12:49  |
| 42    | Dancing Links         | HARD       | Solved     | 777                  | 331                  | 2025-05-06 03:12:49  |
