Algorithm,Level,Status,Time Taken (ms),Memory Used (bytes)
Backtracking with MRV,HARD,Solved,185,69696
Backtracking with MRV,HARD,Solved,201,69696
Backtracking with MRV,HARD,Solved,292,69696
Backtracking with MRV,HARD,Solved,248,69696
Backtracking with MRV,HARD,Solved,357,69696
Backtracking with MRV,EXTREME,Solved,301,69696
Backtracking with MRV,EXTREME,Solved,4198,69696
Backtracking with MRV,EXTREME,Solved,723,69696
Backtracking with MRV,EXTREME,Solved,2241,69696
Backtracking with MRV,EXTREME,Solved,254,69696
Backtracking with MRV,EXTREME,Solved,273,69696
Dancing Links,EASY,Solved,934,0
Dancing Links,EASY,Solved,1023,343808
Dancing Links,EASY,Solved,884,343992
Dancing Links,EASY,Solved,912,343808
Dancing Links,EASY,Solved,925,344232
Dancing Links,EASY,Solved,952,343808
Dancing Links,EASY,Solved,890,344088
Dancing Links,EASY,Solved,903,343792
Dancing Links,EASY,Solved,883,343880
Dancing Links,EASY,Solved,882,343808
Dancing Links,EASY,Unsolved,842,343808
Dancing Links,EASY,Solved,924,343992
Dancing Links,EASY,Solved,893,343808
Dancing Links,EASY,Solved,890,343808
Dancing Links,EASY,Solved,878,344088
Dancing Links,MEDIUM,Solved,885,343808
Dancing Links,MEDIUM,Solved,878,343808
Dancing Links,MEDIUM,Solved,895,343808
Dancing Links,MEDIUM,Solved,877,343808
Dancing Links,MEDIUM,Solved,883,343808
Dancing Links,MEDIUM,Solved,886,343992
Dancing Links,MEDIUM,Solved,889,343808
Dancing Links,MEDIUM,Solved,881,343808
Dancing Links,MEDIUM,Solved,885,343808
Dancing Links,MEDIUM,Solved,877,343808
Dancing Links,MEDIUM,Solved,874,343808
Dancing Links,MEDIUM,Solved,871,343808
Dancing Links,MEDIUM,Solved,878,343808
Dancing Links,MEDIUM,Solved,895,343808
Dancing Links,MEDIUM,Solved,881,343808
Dancing Links,HARD,Solved,901,343792
Dancing Links,HARD,Solved,882,343792
Dancing Links,HARD,Solved,877,343808
Dancing Links,HARD,Solved,879,343808
Dancing Links,HARD,Solved,882,343792
Dancing Links,HARD,Solved,906,343792
Dancing Links,HARD,Solved,876,343792
Dancing Links,HARD,Solved,879,343792
Dancing Links,HARD,Solved,884,343792
Dancing Links,HARD,Solved,898,343792
Dancing Links,HARD,Solved,877,343792
Dancing Links,HARD,Solved,909,343792
Dancing Links,HARD,Solved,904,343792
Dancing Links,HARD,Solved,876,343808
Dancing Links,HARD,Solved,884,343792
Dancing Links,EXTREME,Solved,1064,343808
Dancing Links,EXTREME,Solved,1137,343808
Dancing Links,EXTREME,Solved,871,343808
Dancing Links,EXTREME,Solved,879,343808
Dancing Links,EXTREME,Solved,940,343808
Dancing Links,EXTREME,Solved,885,343792
Backtracking,EASY,Solved,60,0
Backtracking,EASY,Solved,16,0
Backtracking,EASY,Solved,35,0
Backtracking,EASY,Solved,11,0
Backtracking,EASY,Solved,27,0
Backtracking,EASY,Solved,11,0
Backtracking,EASY,Solved,25,0
Backtracking,EASY,Solved,930,0
Backtracking,EASY,Solved,17,0
Backtracking,EASY,Solved,67,0
Backtracking,EASY,Unsolved,105,0
Backtracking,EASY,Solved,80,0
Backtracking,EASY,Solved,12,0
Backtracking,EASY,Solved,15,0
Backtracking,EASY,Solved,22,0
Backtracking,MEDIUM,Solved,80,0
Backtracking,MEDIUM,Solved,20,0
Backtracking,MEDIUM,Solved,165,0
Backtracking,MEDIUM,Solved,40,0
Backtracking,MEDIUM,Solved,270,0
Backtracking,MEDIUM,Solved,18,0
Backtracking,MEDIUM,Solved,32,0
Backtracking,MEDIUM,Solved,169,0
Backtracking,MEDIUM,Solved,602,0
Backtracking,MEDIUM,Solved,25,0
Backtracking,MEDIUM,Solved,11,0
Backtracking,MEDIUM,Solved,47,0
Backtracking,MEDIUM,Solved,126,0
Backtracking,MEDIUM,Solved,60,0
Backtracking,MEDIUM,Solved,1346,0
Backtracking,HARD,Solved,389,0
Backtracking,HARD,Solved,69,0
Backtracking,HARD,Solved,761,0
Backtracking,HARD,Solved,123,0
Backtracking,HARD,Solved,70,0
Backtracking,HARD,Solved,1711,0
Backtracking,HARD,Solved,55,0
Backtracking,HARD,Solved,175,0
Backtracking,HARD,Solved,35,0
Backtracking,HARD,Solved,307,0
Backtracking,HARD,Solved,545,0
Backtracking,HARD,Solved,389,0
Backtracking,HARD,Solved,436,0
Backtracking,HARD,Solved,80,0
Backtracking,HARD,Solved,530,0
Backtracking,EXTREME,Solved,2828,0
Backtracking,EXTREME,Solved,7248,0
Backtracking,EXTREME,Solved,5905,0
Backtracking,EXTREME,Solved,1104,0
Backtracking,EXTREME,Solved,1117,0
Backtracking,EXTREME,Solved,1520,0
Forward Checking,EASY,Solved,2253,1504680
Forward Checking,EASY,Solved,1795,1447696
Forward Checking,EASY,Solved,1703,1333104
Forward Checking,EASY,Solved,1723,1407952
Forward Checking,EASY,Solved,1713,1370528
Forward Checking,EASY,Solved,1894,1408952
Forward Checking,EASY,Solved,1845,1451936
Forward Checking,EASY,Solved,3123,2424792
Forward Checking,EASY,Solved,1394,1393248
Forward Checking,EASY,Solved,1372,1427464
Forward Checking,EASY,Unsolved,599,627496
Forward Checking,EASY,Solved,1421,1383240
Forward Checking,EASY,Solved,1299,1378232
Forward Checking,EASY,Solved,1293,1333840
Forward Checking,EASY,Solved,1420,1448832
Forward Checking,MEDIUM,Solved,2291,3033824
Forward Checking,MEDIUM,Solved,1038,1378192
Forward Checking,MEDIUM,Solved,1524,2072080
Forward Checking,MEDIUM,Solved,1152,1798184
Forward Checking,MEDIUM,Solved,2277,2603792
Forward Checking,MEDIUM,Solved,784,1200232
Forward Checking,MEDIUM,Solved,836,1183264
Forward Checking,MEDIUM,Solved,876,1336360
Forward Checking,MEDIUM,Solved,1609,2539944
Forward Checking,MEDIUM,Solved,867,1178752
Forward Checking,MEDIUM,Solved,921,1449640
Forward Checking,MEDIUM,Solved,1002,1497144
Forward Checking,MEDIUM,Solved,1865,1924504
Forward Checking,MEDIUM,Solved,1123,1795320
Forward Checking,MEDIUM,Solved,1809,2291264
Forward Checking,HARD,Solved,1610,1895464
Forward Checking,HARD,Solved,1032,1695808
Forward Checking,HARD,Solved,1524,2394064
Forward Checking,HARD,Solved,1201,1967384
Forward Checking,HARD,Solved,1326,2024624
Forward Checking,HARD,Solved,1183,1910624
Forward Checking,HARD,Solved,1980,2422872
Forward Checking,HARD,Solved,1422,2407040
Forward Checking,HARD,Solved,1055,1746488
Forward Checking,HARD,Solved,1919,2997560
Forward Checking,HARD,Solved,1053,1788576
Forward Checking,HARD,Solved,1806,2621120
Forward Checking,HARD,Solved,1436,2252560
Forward Checking,HARD,Solved,878,1390680
Forward Checking,HARD,Solved,1430,2508992
Forward Checking,EXTREME,Solved,9902,3928016
Forward Checking,EXTREME,Solved,17891,14985456
Forward Checking,EXTREME,Solved,7355,1824720
Forward Checking,EXTREME,Solved,11199,14272240
Forward Checking,EXTREME,Solved,1520,2392848
Forward Checking,EXTREME,Solved,1114,1958656
Backtracking with MRV,EASY,Solved,195,69992
Backtracking with MRV,EASY,Solved,195,69992
Backtracking with MRV,EASY,Solved,284,69992
Backtracking with MRV,EASY,Solved,196,69992
Backtracking with MRV,EASY,Solved,214,69992
Backtracking with MRV,EASY,Solved,204,69992
Backtracking with MRV,EASY,Solved,186,69992
Backtracking with MRV,EASY,Solved,376,69992
Backtracking with MRV,EASY,Solved,186,69992
Backtracking with MRV,EASY,Solved,198,69992
Backtracking with MRV,EASY,Unsolved,121,69992
Backtracking with MRV,EASY,Solved,231,69992
Backtracking with MRV,EASY,Solved,213,69992
Backtracking with MRV,EASY,Solved,223,69992
Backtracking with MRV,EASY,Solved,133,69992
Backtracking with MRV,MEDIUM,Solved,203,69992
Backtracking with MRV,MEDIUM,Solved,119,69992
Backtracking with MRV,MEDIUM,Solved,190,69992
Backtracking with MRV,MEDIUM,Solved,150,69992
Backtracking with MRV,MEDIUM,Solved,142,69992
Backtracking with MRV,MEDIUM,Solved,116,69992
Backtracking with MRV,MEDIUM,Solved,121,69992
Backtracking with MRV,MEDIUM,Solved,126,69992
Backtracking with MRV,MEDIUM,Solved,233,69992
Backtracking with MRV,MEDIUM,Solved,126,69992
Backtracking with MRV,MEDIUM,Solved,139,69992
Backtracking with MRV,MEDIUM,Solved,241,69992
Backtracking with MRV,MEDIUM,Solved,142,69992
Backtracking with MRV,MEDIUM,Solved,314,69992
Backtracking with MRV,MEDIUM,Solved,134,69992
Backtracking with MRV,HARD,Solved,206,69992
Backtracking with MRV,HARD,Solved,175,69992
Backtracking with MRV,HARD,Solved,287,69992
Backtracking with MRV,HARD,Solved,213,69992
Backtracking with MRV,HARD,Solved,270,69992
Backtracking with MRV,HARD,Solved,268,69992
Backtracking with MRV,HARD,Solved,297,69992
Backtracking with MRV,HARD,Solved,200,69992
Backtracking with MRV,HARD,Solved,203,69992
Backtracking with MRV,HARD,Solved,183,69992
Backtracking with MRV,HARD,Solved,183,69992
Backtracking with MRV,HARD,Solved,194,69992
Backtracking with MRV,HARD,Solved,283,69992
Backtracking with MRV,HARD,Solved,240,69992
Backtracking with MRV,HARD,Solved,346,69992
Backtracking with MRV,EXTREME,Solved,297,69992
Backtracking with MRV,EXTREME,Solved,4097,69992
Backtracking with MRV,EXTREME,Solved,691,69992
Backtracking with MRV,EXTREME,Solved,2167,69992
Backtracking with MRV,EXTREME,Solved,245,69992
Backtracking with MRV,EXTREME,Solved,263,69992
Dancing Links,EASY,Solved,1212,0
Dancing Links,EASY,Solved,1153,343808
Dancing Links,EASY,Solved,1119,343992
Dancing Links,EASY,Solved,1159,343808
Dancing Links,EASY,Solved,991,344232
Dancing Links,EASY,Solved,998,343808
Dancing Links,EASY,Solved,984,344088
Dancing Links,EASY,Solved,997,343792
Dancing Links,EASY,Solved,893,343880
Dancing Links,EASY,Solved,957,343808
Dancing Links,EASY,Unsolved,897,343808
Dancing Links,EASY,Solved,901,343992
Dancing Links,EASY,Solved,889,343808
Dancing Links,EASY,Solved,902,343808
Dancing Links,EASY,Solved,887,344088
Dancing Links,MEDIUM,Solved,897,343808
Dancing Links,MEDIUM,Solved,882,343808
Dancing Links,MEDIUM,Solved,890,343808
Dancing Links,MEDIUM,Solved,896,343808
Dancing Links,MEDIUM,Solved,901,343808
Dancing Links,MEDIUM,Solved,901,343992
Dancing Links,MEDIUM,Solved,897,343808
Dancing Links,MEDIUM,Solved,912,343808
Dancing Links,MEDIUM,Solved,925,343808
Dancing Links,MEDIUM,Solved,932,343808
Dancing Links,MEDIUM,Solved,890,343808
Dancing Links,MEDIUM,Solved,961,343808
Dancing Links,MEDIUM,Solved,890,343808
Dancing Links,MEDIUM,Solved,991,343808
Dancing Links,MEDIUM,Solved,939,343808
Dancing Links,HARD,Solved,906,343792
Dancing Links,HARD,Solved,892,343792
Dancing Links,HARD,Solved,879,343808
Dancing Links,HARD,Solved,875,343808
Dancing Links,HARD,Solved,871,343792
Dancing Links,HARD,Solved,885,343792
Dancing Links,HARD,Solved,875,343792
Dancing Links,HARD,Solved,880,343792
Dancing Links,HARD,Solved,878,343792
Dancing Links,HARD,Solved,920,343792
Dancing Links,HARD,Solved,894,343792
Dancing Links,HARD,Solved,894,343792
Dancing Links,HARD,Solved,883,343792
Dancing Links,HARD,Solved,894,343808
Dancing Links,HARD,Solved,887,343792
Dancing Links,EXTREME,Solved,1117,343808
Dancing Links,EXTREME,Solved,1101,343808
Dancing Links,EXTREME,Solved,901,343808
Dancing Links,EXTREME,Solved,884,343808
Dancing Links,EXTREME,Solved,1065,343808
Dancing Links,EXTREME,Solved,890,343792
Backtracking,EASY,Solved,64,0
Backtracking,EASY,Solved,16,0
Backtracking,EASY,Solved,35,0
Backtracking,EASY,Solved,11,0
Backtracking,EASY,Solved,28,0
Backtracking,EASY,Solved,9,0
Backtracking,EASY,Solved,24,0
Backtracking,EASY,Solved,962,0
Backtracking,EASY,Solved,15,0
Backtracking,EASY,Solved,65,0
Backtracking,EASY,Unsolved,51,0
Backtracking,EASY,Solved,46,0
Backtracking,EASY,Solved,11,0
Backtracking,EASY,Solved,12,0
Backtracking,EASY,Solved,23,0
Backtracking,MEDIUM,Solved,81,0
Backtracking,MEDIUM,Solved,21,0
Backtracking,MEDIUM,Solved,165,0
Backtracking,MEDIUM,Solved,42,0
Backtracking,MEDIUM,Solved,277,0
Backtracking,MEDIUM,Solved,18,0
Backtracking,MEDIUM,Solved,32,0
Backtracking,MEDIUM,Solved,169,0
Backtracking,MEDIUM,Solved,434,0
Backtracking,MEDIUM,Solved,26,0
Backtracking,MEDIUM,Solved,11,0
Backtracking,MEDIUM,Solved,47,0
Backtracking,MEDIUM,Solved,128,0
Backtracking,MEDIUM,Solved,59,0
Backtracking,MEDIUM,Solved,1360,0
Backtracking,HARD,Solved,386,0
Backtracking,HARD,Solved,68,0
Backtracking,HARD,Solved,766,0
Backtracking,HARD,Solved,120,0
Backtracking,HARD,Solved,68,0
Backtracking,HARD,Solved,1533,0
Backtracking,HARD,Solved,56,0
Backtracking,HARD,Solved,178,0
Backtracking,HARD,Solved,36,0
Backtracking,HARD,Solved,343,0
Backtracking,HARD,Solved,555,0
Backtracking,HARD,Solved,403,0
Backtracking,HARD,Solved,445,0
Backtracking,HARD,Solved,82,0
Backtracking,HARD,Solved,528,0
Backtracking,EXTREME,Solved,2636,0
Backtracking,EXTREME,Solved,7118,0
Backtracking,EXTREME,Solved,5793,0
Backtracking,EXTREME,Solved,1106,0
Backtracking,EXTREME,Solved,1103,0
Backtracking,EXTREME,Solved,1521,0
Forward Checking,EASY,Solved,2214,1504680
Forward Checking,EASY,Solved,1759,1447696
Forward Checking,EASY,Solved,1873,1333104
Forward Checking,EASY,Solved,1745,1407952
Forward Checking,EASY,Solved,1806,1370528
Forward Checking,EASY,Solved,1759,1408952
Forward Checking,EASY,Solved,2078,1451936
Forward Checking,EASY,Solved,2283,2424792
Forward Checking,EASY,Solved,1509,1393248
Forward Checking,EASY,Solved,1365,1427464
Forward Checking,EASY,Unsolved,581,627496
Forward Checking,EASY,Solved,1515,1383240
Forward Checking,EASY,Solved,1288,1378232
Forward Checking,EASY,Solved,1317,1333840
Forward Checking,EASY,Solved,957,1328704
Forward Checking,MEDIUM,Solved,2107,3005424
Forward Checking,MEDIUM,Solved,1336,1371280
Forward Checking,MEDIUM,Solved,1328,2055952
Forward Checking,MEDIUM,Solved,1184,1788896
Forward Checking,MEDIUM,Solved,1690,2598920
Forward Checking,MEDIUM,Solved,773,1199264
Forward Checking,MEDIUM,Solved,827,1182536
Forward Checking,MEDIUM,Solved,818,1335192
Forward Checking,MEDIUM,Solved,1599,2538800
Forward Checking,MEDIUM,Solved,777,1178600
Forward Checking,MEDIUM,Solved,903,1449248
Forward Checking,MEDIUM,Solved,925,1496968
Forward Checking,MEDIUM,Solved,1249,1923864
Forward Checking,MEDIUM,Solved,1119,1795024
Forward Checking,MEDIUM,Solved,1428,2291224
Forward Checking,HARD,Solved,1267,1895136
Forward Checking,HARD,Solved,1020,1695656
Forward Checking,HARD,Solved,1538,2394000
Forward Checking,HARD,Solved,1138,1967384
Forward Checking,HARD,Solved,1307,2075864
Forward Checking,HARD,Solved,1234,1918976
Forward Checking,HARD,Solved,1493,2425368
Forward Checking,HARD,Solved,1472,2408664
Forward Checking,HARD,Solved,1042,1749008
Forward Checking,HARD,Solved,1874,3000672
Forward Checking,HARD,Solved,1077,1790344
Forward Checking,HARD,Solved,1581,2622088
Forward Checking,HARD,Solved,1388,2252808
Forward Checking,HARD,Solved,874,1391144
Forward Checking,HARD,Solved,1441,2509288
Forward Checking,EXTREME,Solved,9758,3928064
Forward Checking,EXTREME,Solved,17741,14985456
Forward Checking,EXTREME,Solved,8601,1824720
Forward Checking,EXTREME,Solved,11995,14306128
Forward Checking,EXTREME,Solved,1517,2392848
Forward Checking,EXTREME,Solved,1100,1958656
Backtracking with MRV,EASY,Solved,196,69992
Backtracking with MRV,EASY,Solved,190,69992
Backtracking with MRV,EASY,Solved,190,69992
Backtracking with MRV,EASY,Solved,191,69992
Backtracking with MRV,EASY,Solved,201,69992
Backtracking with MRV,EASY,Solved,203,69992
Backtracking with MRV,EASY,Solved,199,69992
Backtracking with MRV,EASY,Solved,375,69992
Backtracking with MRV,EASY,Solved,191,69992
Backtracking with MRV,EASY,Solved,213,69992
Backtracking with MRV,EASY,Unsolved,122,69992
Backtracking with MRV,EASY,Solved,194,69992
Backtracking with MRV,EASY,Solved,197,69992
Backtracking with MRV,EASY,Solved,203,69992
Backtracking with MRV,EASY,Solved,234,69992
Backtracking with MRV,MEDIUM,Solved,377,69992
